STRUCTURE_NAME,Sex_M/F,Health_Status,Health status,Year,Value
Health status,M,G,Good/very good health,2019,82.6
Health status,M,G,Good/very good health,2018,82.2
Health status,M,G,Good/very good health,2017,81.2
Health status,M,G,Good/very good health,2016,80.1
Health status,M,G,Good/very good health,2015,80.1
Health status,M,G,Good/very good health,2014,81.5
Health status,F,B,Bad/very bad health,2023,8.1
Health status,F,B,Bad/very bad health,2022,8.3
Health status,F,B,Bad/very bad health,2021,7.1
Health status,M,F,"Fair (not good, not bad) health",2023,21
Health status,M,F,"Fair (not good, not bad) health",2022,19.6
Health status,M,F,"Fair (not good, not bad) health",2021,19.7
Health status,M,F,"Fair (not good, not bad) health",2020,17.6
Health status,M,F,"Fair (not good, not bad) health",2019,20.7
Health status,M,F,"Fair (not good, not bad) health",2018,18.9
Health status,M,F,"Fair (not good, not bad) health",2017,21
Health status,M,F,"Fair (not good, not bad) health",2016,20.5
Health status,M,F,"Fair (not good, not bad) health",2015,19.9
Health status,M,F,"Fair (not good, not bad) health",2014,20.3
Health status,M,G,Good/very good health,2022,63.9
Health status,M,G,Good/very good health,2021,66.1
Health status,M,G,Good/very good health,2018,79.3
Health status,M,G,Good/very good health,2017,79.5
Health status,M,G,Good/very good health,2016,80.4
Health status,M,G,Good/very good health,2015,80.5
Health status,M,G,Good/very good health,2014,80.8
Health status,F,F,"Fair (not good, not bad) health",2021,17
Health status,F,F,"Fair (not good, not bad) health",2020,18
Health status,F,F,"Fair (not good, not bad) health",2019,18.4
Health status,F,F,"Fair (not good, not bad) health",2018,17.3
Health status,F,F,"Fair (not good, not bad) health",2017,18.2
Health status,F,F,"Fair (not good, not bad) health",2016,18.1
Health status,F,F,"Fair (not good, not bad) health",2015,17.3
Health status,F,F,"Fair (not good, not bad) health",2014,16.8
Health status,M,G,Good/very good health,2023,78.7
Health status,M,G,Good/very good health,2022,79.1
Health status,M,G,Good/very good health,2021,78.8
Health status,M,G,Good/very good health,2020,78.2
Health status,M,G,Good/very good health,2019,76.8
Health status,M,F,"Fair (not good, not bad) health",2020,15.5
Health status,M,F,"Fair (not good, not bad) health",2019,15.3
Health status,M,F,"Fair (not good, not bad) health",2018,15.4
Health status,M,F,"Fair (not good, not bad) health",2017,15.5
Health status,M,F,"Fair (not good, not bad) health",2016,15.8
Health status,M,F,"Fair (not good, not bad) health",2015,14.6
Health status,M,F,"Fair (not good, not bad) health",2014,14.7
Health status,F,G,Good/very good health,2023,72.4
Health status,F,G,Good/very good health,2022,72.5
Health status,F,G,Good/very good health,2021,74
Health status,F,G,Good/very good health,2020,73.3
Health status,F,G,Good/very good health,2019,71.8
Health status,F,G,Good/very good health,2018,72.5
Health status,F,G,Good/very good health,2017,71.6
Health status,F,G,Good/very good health,2016,71.2
Health status,F,G,Good/very good health,2015,71.5
Health status,F,G,Good/very good health,2014,72.8
Health status,M,B,Bad/very bad health,2023,7.5
Health status,M,B,Bad/very bad health,2022,6.8
Health status,M,B,Bad/very bad health,2021,6.9
Health status,M,B,Bad/very bad health,2020,6.9
Health status,M,B,Bad/very bad health,2019,8.3
Health status,M,B,Bad/very bad health,2018,7.3
Health status,M,B,Bad/very bad health,2017,7
Health status,M,B,Bad/very bad health,2016,7.6
Health status,M,B,Bad/very bad health,2015,7.5
Health status,M,B,Bad/very bad health,2014,7.9
Health status,F,F,"Fair (not good, not bad) health",2023,18.2
Health status,F,F,"Fair (not good, not bad) health",2022,18.3
Health status,M,G,Good/very good health,2020,64
Health status,M,G,Good/very good health,2019,64.2
Health status,M,G,Good/very good health,2018,66.3
Health status,M,G,Good/very good health,2017,65.8
Health status,M,G,Good/very good health,2016,62.6
Health status,M,G,Good/very good health,2015,62.4
Health status,M,G,Good/very good health,2014,63.2
Health status,F,G,Good/very good health,2023,55.4
Health status,F,G,Good/very good health,2022,53.9
Health status,F,G,Good/very good health,2021,57.5
Health status,F,G,Good/very good health,2020,54.9
Health status,F,G,Good/very good health,2019,55.9
Health status,F,G,Good/very good health,2018,58.6
Health status,F,G,Good/very good health,2017,57.5
Health status,F,G,Good/very good health,2016,56.3
Health status,F,G,Good/very good health,2015,53.2
Health status,F,G,Good/very good health,2014,54.2
Health status,F,G,Good/very good health,2023,71.6
Health status,F,G,Good/very good health,2022,72.3
Health status,F,G,Good/very good health,2021,73.1
Health status,F,G,Good/very good health,2020,73.6
Health status,F,G,Good/very good health,2019,71.8
Health status,F,G,Good/very good health,2018,72.2
Health status,F,G,Good/very good health,2017,72.1
Health status,F,G,Good/very good health,2016,72.7
Health status,F,G,Good/very good health,2015,73.9
Health status,F,G,Good/very good health,2014,76.4
Health status,M,G,Good/very good health,2023,78.6
Health status,M,G,Good/very good health,2022,78.2
Health status,M,G,Good/very good health,2021,78.7
Health status,M,G,Good/very good health,2020,77.6
Health status,M,G,Good/very good health,2019,76.3
Health status,M,G,Good/very good health,2018,77.3
Health status,M,G,Good/very good health,2017,77.5
Health status,M,G,Good/very good health,2016,76.6
Health status,M,G,Good/very good health,2015,77.9
Health status,M,G,Good/very good health,2014,77.3
Health status,F,B,Bad/very bad health,2023,9.4
Health status,F,B,Bad/very bad health,2022,9.2
Health status,F,B,Bad/very bad health,2021,9
Health status,F,B,Bad/very bad health,2020,8.7
Health status,F,B,Bad/very bad health,2019,9.9
Health status,F,B,Bad/very bad health,2018,10.2
Health status,F,B,Bad/very bad health,2017,10.2
Health status,F,B,Bad/very bad health,2016,10.7
Health status,F,B,Bad/very bad health,2015,11.3
Health status,F,B,Bad/very bad health,2014,10.4
Health status,M,G,Good/very good health,2023,84.9
Health status,M,G,Good/very good health,2022,84.4
Health status,M,G,Good/very good health,2021,86.1
Health status,M,G,Good/very good health,2020,86.1
Health status,M,G,Good/very good health,2019,84.8
Health status,M,G,Good/very good health,2018,84.3
Health status,M,G,Good/very good health,2017,85.2
Health status,M,G,Good/very good health,2016,84
Health status,M,G,Good/very good health,2015,86.6
Health status,M,G,Good/very good health,2014,86
Health status,M,F,"Fair (not good, not bad) health",2023,14
Health status,M,F,"Fair (not good, not bad) health",2022,15
Health status,M,F,"Fair (not good, not bad) health",2021,14.3
Health status,F,G,Good/very good health,2023,81.4
Health status,F,G,Good/very good health,2022,82.6
Health status,F,G,Good/very good health,2021,85.1
Health status,F,G,Good/very good health,2020,84.8
Health status,F,G,Good/very good health,2019,83.2
Health status,F,G,Good/very good health,2018,84.4
Health status,F,G,Good/very good health,2017,83.2
Health status,F,G,Good/very good health,2016,82
Health status,F,G,Good/very good health,2015,84.1
Health status,F,G,Good/very good health,2014,85.9
Health status,F,G,Good/very good health,2016,87.8
Health status,M,G,Good/very good health,2022,86.7
Health status,M,B,Bad/very bad health,2018,2.6
Health status,M,B,Bad/very bad health,2017,3.1
Health status,M,B,Bad/very bad health,2016,2.8
Health status,M,B,Bad/very bad health,2015,3.1
Health status,M,B,Bad/very bad health,2014,3.2
Health status,F,F,"Fair (not good, not bad) health",2022,11.5
Health status,F,F,"Fair (not good, not bad) health",2021,9.1
Health status,F,F,"Fair (not good, not bad) health",2020,8.3
Health status,F,F,"Fair (not good, not bad) health",2019,8.9
Health status,F,F,"Fair (not good, not bad) health",2018,8.6
Health status,F,F,"Fair (not good, not bad) health",2017,8.8
Health status,F,F,"Fair (not good, not bad) health",2016,8.9
Health status,F,F,"Fair (not good, not bad) health",2015,8.4
Health status,F,F,"Fair (not good, not bad) health",2014,8.8
Health status,M,B,Bad/very bad health,2022,3.6
Health status,M,B,Bad/very bad health,2021,2.9
Health status,M,B,Bad/very bad health,2020,2.7
Health status,M,B,Bad/very bad health,2019,2.7
Health status,F,G,Good/very good health,2015,88.6
Health status,F,G,Good/very good health,2014,88.2
Health status,M,G,Good/very good health,2022,85.3
Health status,M,G,Good/very good health,2021,87.1
Health status,M,G,Good/very good health,2020,87.5
Health status,M,G,Good/very good health,2019,88.5
Health status,M,G,Good/very good health,2018,88.2
Health status,M,G,Good/very good health,2017,87.9
Health status,M,G,Good/very good health,2016,88.2
Health status,M,G,Good/very good health,2015,87.3
Health status,M,G,Good/very good health,2014,87.4
Health status,F,G,Good/very good health,2022,87.6
Health status,F,G,Good/very good health,2021,90.3
Health status,F,G,Good/very good health,2020,91.3
Health status,F,G,Good/very good health,2019,91.3
Health status,F,G,Good/very good health,2018,91.1
Health status,F,G,Good/very good health,2017,91.2
Health status,F,G,Good/very good health,2016,91.1
Health status,F,G,Good/very good health,2015,91
Health status,F,G,Good/very good health,2014,91.3
Health status,F,B,Bad/very bad health,2022,3.5
Health status,F,B,Bad/very bad health,2021,2.8
Health status,F,B,Bad/very bad health,2020,2.9
Health status,F,B,Bad/very bad health,2019,2.9
Health status,F,B,Bad/very bad health,2018,3.2
Health status,F,B,Bad/very bad health,2017,3.3
Health status,F,B,Bad/very bad health,2016,3.3
Health status,F,B,Bad/very bad health,2015,3
Health status,F,B,Bad/very bad health,2014,3
Health status,M,G,Good/very good health,2021,88.5
Health status,M,G,Good/very good health,2020,89.2
Health status,M,G,Good/very good health,2019,89.5
Health status,M,G,Good/very good health,2018,89.1
Health status,M,G,Good/very good health,2017,89.1
Health status,M,G,Good/very good health,2016,89.1
Health status,M,G,Good/very good health,2015,89.4
Health status,M,G,Good/very good health,2014,88.1
Health status,F,G,Good/very good health,2022,76.5
Health status,F,G,Good/very good health,2021,78.3
Health status,F,G,Good/very good health,2020,79.5
Health status,F,G,Good/very good health,2019,76
Health status,F,G,Good/very good health,2018,75.8
Health status,F,G,Good/very good health,2017,77.5
Health status,F,G,Good/very good health,2016,74.7
Health status,F,G,Good/very good health,2015,78.5
Health status,F,G,Good/very good health,2014,75.9
Health status,F,G,Good/very good health,2022,82.6
Health status,F,G,Good/very good health,2021,85.7
Health status,F,G,Good/very good health,2020,85.8
Health status,F,G,Good/very good health,2019,85.6
Health status,F,G,Good/very good health,2018,86.5
Health status,F,G,Good/very good health,2017,85.6
Health status,F,G,Good/very good health,2016,85.9
Health status,F,G,Good/very good health,2015,86.9
Health status,F,G,Good/very good health,2014,87.2
Health status,M,G,Good/very good health,2022,79.7
Health status,M,G,Good/very good health,2021,79.3
Health status,M,G,Good/very good health,2020,81.1
Health status,M,G,Good/very good health,2019,78.7
Health status,M,G,Good/very good health,2018,78.2
Health status,M,G,Good/very good health,2017,79.6
Health status,M,G,Good/very good health,2016,79.4
Health status,M,G,Good/very good health,2015,81.4
Health status,M,G,Good/very good health,2014,77.3
Health status,M,G,Good/very good health,2022,88.8
Health status,M,G,Good/very good health,2021,90.4
Health status,M,G,Good/very good health,2020,91.2
Health status,M,G,Good/very good health,2019,91.9
Health status,M,G,Good/very good health,2018,91.6
Health status,M,G,Good/very good health,2017,91.6
Health status,M,G,Good/very good health,2016,91.5
Health status,M,G,Good/very good health,2015,91.7
Health status,M,G,Good/very good health,2014,91.1
Health status,M,F,"Fair (not good, not bad) health",2022,9.7
Health status,M,F,"Fair (not good, not bad) health",2021,8.6
Health status,M,F,"Fair (not good, not bad) health",2020,8
Health status,M,F,"Fair (not good, not bad) health",2019,7.8
Health status,M,F,"Fair (not good, not bad) health",2018,8.4
Health status,M,F,"Fair (not good, not bad) health",2017,7.9
Health status,M,F,"Fair (not good, not bad) health",2016,8.1
Health status,M,F,"Fair (not good, not bad) health",2015,7.5
Health status,M,F,"Fair (not good, not bad) health",2014,8.7
Health status,F,G,Good/very good health,2022,84.9
Health status,F,G,Good/very good health,2021,88.1
Health status,F,G,Good/very good health,2020,88.8
Health status,F,G,Good/very good health,2019,88.2
Health status,F,G,Good/very good health,2018,88.2
Health status,F,G,Good/very good health,2021,56.9
Health status,F,G,Good/very good health,2017,69.9
Health status,M,G,Good/very good health,2017,64.1
Health status,M,G,Good/very good health,2015,62.3
Health status,M,G,Good/very good health,2021,55.8
Health status,M,G,Good/very good health,2017,65.6
Health status,M,G,Good/very good health,2015,63.8
Health status,F,G,Good/very good health,2015,68.2
Health status,M,G,Good/very good health,2021,60.2
Health status,M,G,Good/very good health,2017,76.3
Health status,M,G,Good/very good health,2015,74.9
Health status,M,B,Bad/very bad health,2021,5.3
Health status,M,B,Bad/very bad health,2017,5.7
Health status,M,B,Bad/very bad health,2015,6.1
Health status,F,G,Good/very good health,2021,47.2
Health status,F,G,Good/very good health,2020,47.2
Health status,F,G,Good/very good health,2017,56
Health status,F,G,Good/very good health,2015,53.1
Health status,M,G,Good/very good health,2021,54
Health status,M,G,Good/very good health,2020,54
Health status,M,G,Good/very good health,2021,45.8
Health status,M,G,Good/very good health,2017,44.8
Health status,M,G,Good/very good health,2015,44.8
Health status,F,G,Good/very good health,2021,36.3
Health status,F,G,Good/very good health,2017,36.8
Health status,F,G,Good/very good health,2015,35.4
Health status,F,B,Bad/very bad health,2021,8.2
Health status,F,B,Bad/very bad health,2017,7.4
Health status,F,B,Bad/very bad health,2015,8.2
Health status,F,F,"Fair (not good, not bad) health",2021,44.5
Health status,F,F,"Fair (not good, not bad) health",2017,36.7
Health status,F,F,"Fair (not good, not bad) health",2015,38.6
Health status,M,F,"Fair (not good, not bad) health",2021,40.7
Health status,M,F,"Fair (not good, not bad) health",2017,30.3
Health status,M,F,"Fair (not good, not bad) health",2015,31.6
Health status,F,G,Good/very good health,2021,49.3
Health status,F,G,Good/very good health,2017,57.2
Health status,M,B,Bad/very bad health,2019,1.2
Health status,M,B,Bad/very bad health,2018,1.3
Health status,F,B,Bad/very bad health,2018,1.3
Health status,F,G,Good/very good health,2019,66.4
Health status,F,G,Good/very good health,2018,66.9
Health status,M,G,Good/very good health,2019,75.3
Health status,M,G,Good/very good health,2018,74.2
Health status,M,F,"Fair (not good, not bad) health",2019,15.3
Health status,M,F,"Fair (not good, not bad) health",2018,15.3
Health status,M,G,Good/very good health,2019,91.8
Health status,M,G,Good/very good health,2018,92.2
Health status,M,G,Good/very good health,2019,83.6
Health status,M,G,Good/very good health,2018,83.3
Health status,F,G,Good/very good health,2019,77.5
Health status,F,G,Good/very good health,2018,78
Health status,F,G,Good/very good health,2019,83.4
Health status,F,G,Good/very good health,2018,83
Health status,F,F,"Fair (not good, not bad) health",2019,21.1
Health status,F,F,"Fair (not good, not bad) health",2018,20.7
Health status,F,B,Bad/very bad health,2019,1.4
Health status,M,G,Good/very good health,2019,88.8
Health status,M,G,Good/very good health,2018,89.5
Health status,F,G,Good/very good health,2019,87.3
Health status,F,B,Bad/very bad health,2018,3.7
Health status,M,B,Bad/very bad health,2018,3.2
Health status,M,G,Good/very good health,2018,75.8
Health status,F,F,"Fair (not good, not bad) health",2018,26.3
Health status,M,F,"Fair (not good, not bad) health",2018,21.1
Health status,M,G,Good/very good health,2022,67
Health status,M,G,Good/very good health,2021,66.7
Health status,F,G,Good/very good health,2018,82.3
Health status,F,G,Good/very good health,2017,82.1
Health status,F,G,Good/very good health,2016,81.8
Health status,F,G,Good/very good health,2015,80.3
Health status,F,G,Good/very good health,2014,78.5
Health status,M,F,"Fair (not good, not bad) health",2021,22.1
Health status,M,F,"Fair (not good, not bad) health",2020,26.2
Health status,M,F,"Fair (not good, not bad) health",2019,26.5
Health status,M,F,"Fair (not good, not bad) health",2018,26.1
Health status,M,F,"Fair (not good, not bad) health",2017,25.8
Health status,M,F,"Fair (not good, not bad) health",2016,26.7
Health status,M,F,"Fair (not good, not bad) health",2015,26.4
Health status,M,F,"Fair (not good, not bad) health",2014,26.2
Health status,F,G,Good/very good health,2023,82.9
Health status,F,G,Good/very good health,2022,84.2
Health status,F,G,Good/very good health,2021,83.3
Health status,F,G,Good/very good health,2020,83.4
Health status,F,G,Good/very good health,2019,83.5
Health status,F,B,Bad/very bad health,2020,9.5
Health status,F,B,Bad/very bad health,2019,10.9
Health status,F,B,Bad/very bad health,2018,11.2
Health status,F,B,Bad/very bad health,2017,11.6
Health status,F,B,Bad/very bad health,2016,12.3
Health status,F,B,Bad/very bad health,2015,11.8
Health status,F,B,Bad/very bad health,2014,12.3
Health status,F,G,Good/very good health,2023,51.9
Health status,F,G,Good/very good health,2022,50.5
Health status,F,G,Good/very good health,2021,50.5
Health status,F,G,Good/very good health,2020,37.6
Health status,F,G,Good/very good health,2019,35.6
Health status,F,G,Good/very good health,2018,35.1
Health status,F,G,Good/very good health,2017,37.5
Health status,F,G,Good/very good health,2016,37.4
Health status,F,G,Good/very good health,2015,37.4
Health status,F,G,Good/very good health,2014,36.1
Health status,M,G,Good/very good health,2023,73.1
Health status,M,G,Good/very good health,2022,73.8
Health status,M,G,Good/very good health,2021,74.5
Health status,M,G,Good/very good health,2020,51.7
Health status,M,G,Good/very good health,2019,57.7
Health status,M,G,Good/very good health,2018,55.2
Health status,M,G,Good/very good health,2017,56.6
Health status,M,G,Good/very good health,2016,58.1
Health status,M,G,Good/very good health,2015,59.1
Health status,M,G,Good/very good health,2014,57.9
Health status,M,F,"Fair (not good, not bad) health",2023,22.7
Health status,M,F,"Fair (not good, not bad) health",2022,21.9
Health status,M,G,Good/very good health,2020,62.1
Health status,M,G,Good/very good health,2019,60.9
Health status,M,G,Good/very good health,2018,61.1
Health status,M,G,Good/very good health,2017,61
Health status,M,G,Good/very good health,2016,59.6
Health status,M,G,Good/very good health,2015,60.8
Health status,M,G,Good/very good health,2014,61
Health status,M,G,Good/very good health,2023,79.6
Health status,M,G,Good/very good health,2022,80.9
Health status,M,G,Good/very good health,2021,80.4
Health status,M,G,Good/very good health,2020,77.8
Health status,M,G,Good/very good health,2019,76.8
Health status,M,G,Good/very good health,2018,76.5
Health status,M,G,Good/very good health,2017,76.9
Health status,M,G,Good/very good health,2016,74.7
Health status,M,G,Good/very good health,2015,75.6
Health status,M,G,Good/very good health,2014,74.5
Health status,M,G,Good/very good health,2023,69.2
Health status,M,G,Good/very good health,2022,70.5
Health status,M,G,Good/very good health,2021,70.3
Health status,M,G,Good/very good health,2020,64.9
Health status,M,G,Good/very good health,2019,63.9
Health status,M,G,Good/very good health,2018,64
Health status,M,G,Good/very good health,2017,63.8
Health status,M,G,Good/very good health,2016,62.2
Health status,M,G,Good/very good health,2015,63.4
Health status,M,G,Good/very good health,2014,63.2
Health status,M,B,Bad/very bad health,2023,8.1
Health status,M,B,Bad/very bad health,2022,7.6
Health status,M,B,Bad/very bad health,2021,7.6
Health status,M,B,Bad/very bad health,2020,9
Health status,M,B,Bad/very bad health,2019,9.6
Health status,M,B,Bad/very bad health,2018,9.9
Health status,M,B,Bad/very bad health,2017,10.5
Health status,M,B,Bad/very bad health,2016,11.1
Health status,M,B,Bad/very bad health,2015,10.1
Health status,M,B,Bad/very bad health,2014,10.7
Health status,F,G,Good/very good health,2023,59.9
Health status,F,G,Good/very good health,2022,62.6
Health status,F,G,Good/very good health,2021,63
Health status,F,G,Good/very good health,2020,60.7
Health status,F,G,Good/very good health,2019,58.7
Health status,F,G,Good/very good health,2018,59.3
Health status,F,G,Good/very good health,2017,59.1
Health status,F,G,Good/very good health,2016,57.8
Health status,F,G,Good/very good health,2015,59.3
Health status,F,G,Good/very good health,2014,59.4
Health status,F,F,"Fair (not good, not bad) health",2023,26
Health status,F,F,"Fair (not good, not bad) health",2022,24.8
Health status,F,F,"Fair (not good, not bad) health",2021,25.1
Health status,F,F,"Fair (not good, not bad) health",2020,28.2
Health status,F,F,"Fair (not good, not bad) health",2019,28.6
Health status,F,F,"Fair (not good, not bad) health",2018,28.1
Health status,F,F,"Fair (not good, not bad) health",2017,28
Health status,F,F,"Fair (not good, not bad) health",2016,28.8
Health status,F,F,"Fair (not good, not bad) health",2015,28.6
Health status,F,F,"Fair (not good, not bad) health",2014,28.9
Health status,F,B,Bad/very bad health,2023,10.2
Health status,F,B,Bad/very bad health,2022,9.8
Health status,F,B,Bad/very bad health,2021,9.5
Health status,F,G,Good/very good health,2023,63.8
Health status,F,G,Good/very good health,2022,65.4
Health status,F,G,Good/very good health,2021,65.3
Health status,F,G,Good/very good health,2020,62.3
Health status,F,G,Good/very good health,2019,60.5
Health status,F,G,Good/very good health,2018,60.7
Health status,F,G,Good/very good health,2017,60.4
Health status,F,G,Good/very good health,2016,59
Health status,F,G,Good/very good health,2015,59.6
Health status,F,G,Good/very good health,2014,58.8
Health status,F,F,"Fair (not good, not bad) health",2022,29.1
Health status,F,F,"Fair (not good, not bad) health",2021,24.5
Health status,M,G,Good/very good health,2018,73.3
Health status,M,G,Good/very good health,2017,71.5
Health status,M,G,Good/very good health,2016,69.9
Health status,M,G,Good/very good health,2015,69.5
Health status,M,G,Good/very good health,2014,72.5
Health status,F,G,Good/very good health,2021,46
Health status,F,G,Good/very good health,2020,54.2
Health status,F,G,Good/very good health,2019,54.9
Health status,F,G,Good/very good health,2018,60.7
Health status,F,G,Good/very good health,2017,62.4
Health status,F,G,Good/very good health,2016,58.9
Health status,F,G,Good/very good health,2015,59
Health status,F,G,Good/very good health,2014,58.6
Health status,M,G,Good/very good health,2023,63
Health status,M,G,Good/very good health,2022,62.5
Health status,M,G,Good/very good health,2021,68
Health status,M,G,Good/very good health,2020,72.2
Health status,M,G,Good/very good health,2019,70.2
Health status,F,G,Good/very good health,2020,80
Health status,F,G,Good/very good health,2019,77
Health status,F,G,Good/very good health,2018,74.4
Health status,F,G,Good/very good health,2017,77.6
Health status,F,G,Good/very good health,2016,78.6
Health status,F,G,Good/very good health,2015,78.3
Health status,F,G,Good/very good health,2014,79.1
Health status,M,B,Bad/very bad health,2023,8.8
Health status,M,B,Bad/very bad health,2022,7.8
Health status,M,B,Bad/very bad health,2021,6.9
Health status,M,B,Bad/very bad health,2020,6.5
Health status,M,B,Bad/very bad health,2019,7.3
Health status,M,B,Bad/very bad health,2018,6.2
